country,slug
Territorialisti,territorialisti
Ristoriani,ristoriani
Salutisti,salutisti
Industriariani,industriariani
Nessuno di questi,nessuno_di_questi
Esterofili,esterofili
Salubristi,salubristi
Sregolati,sregolati
Edonisti,edonisti
Essenzialisti,essenzialisti
Localivori,localivori
Eticisti,eticisti
Estetizzanti,estetizzanti
